geography,med_household_income,unemployed,total_pop,gini,year,geography_str,state_cd
"Congressional District 12 (113th Congress), Pennsylvania: Summary level: 500, state:42> congressional district:12",54772.0,24600.0,705045.0,0.4621,2013,"Congressional District 12 (113th Congress), Pennsylvania: Summary level: 500, state:42> congressional district:12",PA-12
"Congressional District 14 (113th Congress), Pennsylvania: Summary level: 500, state:42> congressional district:14",40530.0,35647.0,705961.0,0.4783,2013,"Congressional District 14 (113th Congress), Pennsylvania: Summary level: 500, state:42> congressional district:14",PA-14
"Congressional District 2 (113th Congress), Rhode Island: Summary level: 500, state:44> congressional district:02",60740.0,28109.0,524365.0,0.4489,2013,"Congressional District 2 (113th Congress), Rhode Island: Summary level: 500, state:44> congressional district:02",RI-02
"Congressional District 2 (113th Congress), South Carolina: Summary level: 500, state:45> congressional district:02",53194.0,31054.0,667132.0,0.4469,2013,"Congressional District 2 (113th Congress), South Carolina: Summary level: 500, state:45> congressional district:02",SC-02
"Congressional District 3 (113th Congress), South Carolina: Summary level: 500, state:45> congressional district:03",41072.0,37249.0,664164.0,0.4539,2013,"Congressional District 3 (113th Congress), South Carolina: Summary level: 500, state:45> congressional district:03",SC-03
"Congressional District 5 (113th Congress), South Carolina: Summary level: 500, state:45> congressional district:05",44134.0,39977.0,666672.0,0.4521,2013,"Congressional District 5 (113th Congress), South Carolina: Summary level: 500, state:45> congressional district:05",SC-05
"Congressional District 7 (113th Congress), South Carolina: Summary level: 500, state:45> congressional district:07",39217.0,39840.0,667516.0,0.4677,2013,"Congressional District 7 (113th Congress), South Carolina: Summary level: 500, state:45> congressional district:07",SC-07
"Congressional District 1 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:01",38165.0,32827.0,707012.0,0.4638,2013,"Congressional District 1 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:01",TN-01
"Congressional District 2 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:02",45477.0,29918.0,711088.0,0.468,2013,"Congressional District 2 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:02",TN-02
"Congressional District 3 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:03",42126.0,34629.0,710552.0,0.4731,2013,"Congressional District 3 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:03",TN-03
"Congressional District 4 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:04",45428.0,35349.0,714362.0,0.4366,2013,"Congressional District 4 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:04",TN-04
"Congressional District 5 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:05",47207.0,34893.0,716926.0,0.4788,2013,"Congressional District 5 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:05",TN-05
"Congressional District 6 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:06",45012.0,31857.0,713046.0,0.453,2013,"Congressional District 6 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:06",TN-06
"Congressional District 7 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:07",48762.0,33317.0,714583.0,0.4797,2013,"Congressional District 7 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:07",TN-07
"Congressional District 9 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:09",38241.0,49614.0,710378.0,0.4693,2013,"Congressional District 9 (113th Congress), Tennessee: Summary level: 500, state:47> congressional district:09",TN-09
"Congressional District 2 (113th Congress), Texas: Summary level: 500, state:48> congressional district:02",71328.0,22959.0,714222.0,0.4588,2013,"Congressional District 2 (113th Congress), Texas: Summary level: 500, state:48> congressional district:02",TX-02
"Congressional District 4 (113th Congress), Texas: Summary level: 500, state:48> congressional district:04",47645.0,29671.0,704830.0,0.4551,2013,"Congressional District 4 (113th Congress), Texas: Summary level: 500, state:48> congressional district:04",TX-04
"Congressional District 6 (113th Congress), Texas: Summary level: 500, state:48> congressional district:06",59959.0,31367.0,713938.0,0.4226,2013,"Congressional District 6 (113th Congress), Texas: Summary level: 500, state:48> congressional district:06",TX-06
"Congressional District 7 (113th Congress), Texas: Summary level: 500, state:48> congressional district:07",69297.0,25331.0,708385.0,0.5236,2013,"Congressional District 7 (113th Congress), Texas: Summary level: 500, state:48> congressional district:07",TX-07
"Congressional District 8 (113th Congress), Texas: Summary level: 500, state:48> congressional district:08",60746.0,24612.0,721673.0,0.4709,2013,"Congressional District 8 (113th Congress), Texas: Summary level: 500, state:48> congressional district:08",TX-08
"Congressional District 1 (113th Congress), Texas: Summary level: 500, state:48> congressional district:01",44002.0,26320.0,702286.0,0.4741,2013,"Congressional District 1 (113th Congress), Texas: Summary level: 500, state:48> congressional district:01",TX-01
"Congressional District 9 (113th Congress), Texas: Summary level: 500, state:48> congressional district:09",42214.0,40273.0,708720.0,0.456,2013,"Congressional District 9 (113th Congress), Texas: Summary level: 500, state:48> congressional district:09",TX-09
"Congressional District 10 (113th Congress), Texas: Summary level: 500, state:48> congressional district:10",63130.0,24768.0,720957.0,0.4589,2013,"Congressional District 10 (113th Congress), Texas: Summary level: 500, state:48> congressional district:10",TX-10
"Congressional District 11 (113th Congress), Texas: Summary level: 500, state:48> congressional district:11",48328.0,19733.0,710994.0,0.4763,2013,"Congressional District 11 (113th Congress), Texas: Summary level: 500, state:48> congressional district:11",TX-11
"Congressional District 12 (113th Congress), Texas: Summary level: 500, state:48> congressional district:12",58781.0,28082.0,714739.0,0.4515,2013,"Congressional District 12 (113th Congress), Texas: Summary level: 500, state:48> congressional district:12",TX-12
"Congressional District 13 (113th Congress), Texas: Summary level: 500, state:48> congressional district:13",47114.0,20547.0,699400.0,0.4483,2013,"Congressional District 13 (113th Congress), Texas: Summary level: 500, state:48> congressional district:13",TX-13
"Congressional District 14 (113th Congress), Texas: Summary level: 500, state:48> congressional district:14",53184.0,30797.0,703962.0,0.4658,2013,"Congressional District 14 (113th Congress), Texas: Summary level: 500, state:48> congressional district:14",TX-14
"Congressional District 15 (113th Congress), Texas: Summary level: 500, state:48> congressional district:15",39175.0,30079.0,712825.0,0.4822,2013,"Congressional District 15 (113th Congress), Texas: Summary level: 500, state:48> congressional district:15",TX-15
"Congressional District 16 (113th Congress), Texas: Summary level: 500, state:48> congressional district:16",41807.0,26327.0,710356.0,0.4672,2013,"Congressional District 16 (113th Congress), Texas: Summary level: 500, state:48> congressional district:16",TX-16
"Congressional District 17 (113th Congress), Texas: Summary level: 500, state:48> congressional district:17",45328.0,27861.0,709510.0,0.4672,2013,"Congressional District 17 (113th Congress), Texas: Summary level: 500, state:48> congressional district:17",TX-17
"Congressional District 18 (113th Congress), Texas: Summary level: 500, state:48> congressional district:18",40191.0,37506.0,710407.0,0.4905,2013,"Congressional District 18 (113th Congress), Texas: Summary level: 500, state:48> congressional district:18",TX-18
"Congressional District 19 (113th Congress), Texas: Summary level: 500, state:48> congressional district:19",44031.0,23236.0,703351.0,0.466,2013,"Congressional District 19 (113th Congress), Texas: Summary level: 500, state:48> congressional district:19",TX-19
"Congressional District 21 (113th Congress), Texas: Summary level: 500, state:48> congressional district:21",60230.0,25313.0,714289.0,0.4718,2013,"Congressional District 21 (113th Congress), Texas: Summary level: 500, state:48> congressional district:21",TX-21
"Congressional District 22 (113th Congress), Texas: Summary level: 500, state:48> congressional district:22",84752.0,18866.0,725946.0,0.4235,2013,"Congressional District 22 (113th Congress), Texas: Summary level: 500, state:48> congressional district:22",TX-22
"Congressional District 24 (113th Congress), Texas: Summary level: 500, state:48> congressional district:24",63202.0,29113.0,720793.0,0.4694,2013,"Congressional District 24 (113th Congress), Texas: Summary level: 500, state:48> congressional district:24",TX-24
"Congressional District 25 (113th Congress), Texas: Summary level: 500, state:48> congressional district:25",59906.0,25680.0,718722.0,0.4793,2013,"Congressional District 25 (113th Congress), Texas: Summary level: 500, state:48> congressional district:25",TX-25
"Congressional District 26 (113th Congress), Texas: Summary level: 500, state:48> congressional district:26",78739.0,26431.0,725214.0,0.4072,2013,"Congressional District 26 (113th Congress), Texas: Summary level: 500, state:48> congressional district:26",TX-26
"Congressional District 28 (113th Congress), Texas: Summary level: 500, state:48> congressional district:28",43555.0,24706.0,710874.0,0.447,2013,"Congressional District 28 (113th Congress), Texas: Summary level: 500, state:48> congressional district:28",TX-28
"Congressional District 29 (113th Congress), Texas: Summary level: 500, state:48> congressional district:29",37651.0,35462.0,715491.0,0.4267,2013,"Congressional District 29 (113th Congress), Texas: Summary level: 500, state:48> congressional district:29",TX-29
"Congressional District 31 (113th Congress), Texas: Summary level: 500, state:48> congressional district:31",62328.0,28632.0,719948.0,0.4095,2013,"Congressional District 31 (113th Congress), Texas: Summary level: 500, state:48> congressional district:31",TX-31
"Congressional District 33 (113th Congress), Texas: Summary level: 500, state:48> congressional district:33",34680.0,39627.0,706780.0,0.4215,2013,"Congressional District 33 (113th Congress), Texas: Summary level: 500, state:48> congressional district:33",TX-33
"Congressional District 34 (113th Congress), Texas: Summary level: 500, state:48> congressional district:34",34759.0,28833.0,705858.0,0.489,2013,"Congressional District 34 (113th Congress), Texas: Summary level: 500, state:48> congressional district:34",TX-34
"Congressional District 36 (113th Congress), Texas: Summary level: 500, state:48> congressional district:36",53678.0,32851.0,709653.0,0.4474,2013,"Congressional District 36 (113th Congress), Texas: Summary level: 500, state:48> congressional district:36",TX-36
"Congressional District 1 (113th Congress), Utah: Summary level: 500, state:49> congressional district:01",59229.0,22420.0,700815.0,0.4078,2013,"Congressional District 1 (113th Congress), Utah: Summary level: 500, state:49> congressional district:01",UT-01
"Congressional District 2 (113th Congress), Utah: Summary level: 500, state:49> congressional district:02",53233.0,28736.0,699359.0,0.4447,2013,"Congressional District 2 (113th Congress), Utah: Summary level: 500, state:49> congressional district:02",UT-02
"Congressional District 4 (113th Congress), Utah: Summary level: 500, state:49> congressional district:04",61088.0,26579.0,711440.0,0.3886,2013,"Congressional District 4 (113th Congress), Utah: Summary level: 500, state:49> congressional district:04",UT-04
"Congressional District 2 (113th Congress), Virginia: Summary level: 500, state:51> congressional district:02",60840.0,26402.0,724953.0,0.4229,2013,"Congressional District 2 (113th Congress), Virginia: Summary level: 500, state:51> congressional district:02",VA-02
"Congressional District 3 (113th Congress), Virginia: Summary level: 500, state:51> congressional district:03",41587.0,45359.0,740448.0,0.4507,2013,"Congressional District 3 (113th Congress), Virginia: Summary level: 500, state:51> congressional district:03",VA-03
"Congressional District 4 (113th Congress), Virginia: Summary level: 500, state:51> congressional district:04",62313.0,30461.0,733796.0,0.411,2013,"Congressional District 4 (113th Congress), Virginia: Summary level: 500, state:51> congressional district:04",VA-04
"Congressional District 5 (113th Congress), Virginia: Summary level: 500, state:51> congressional district:05",47573.0,27218.0,727039.0,0.4697,2013,"Congressional District 5 (113th Congress), Virginia: Summary level: 500, state:51> congressional district:05",VA-05
"Congressional District 6 (113th Congress), Virginia: Summary level: 500, state:51> congressional district:06",47939.0,26351.0,733703.0,0.4496,2013,"Congressional District 6 (113th Congress), Virginia: Summary level: 500, state:51> congressional district:06",VA-06
