Segment,Technology,Subcategory,Decarb_Sector,Project_Type,Estimated_Total_Facility_CAPEX,CD119_2024_Name,Announcement_Date,State,US Senator 1: Party,US Senator 2: Party,US Representative Party,Latitude,Longitude,Announcement_Year,Announcement_Quarter,solar_irradiance,wind_speed_2m,wind_speed_2m_max,wind_speed_50m,air_temp_2m,air_temp_2m_max,air_temp_2m_min,precipitation
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,2080.742545,KY-02,2022-04-13,KY,Republican,Republican,Republican,37.04,-86.3,2022,2,4.052185792349727,1.7324043715846995,2.819781420765027,5.1356284153005465,14.133852459016392,19.36382513661202,9.01308743169399,4.364289617486339
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,1625.034092,SC-07,2022-12-06,SC,Republican,Republican,Republican,34.200076,-79.76985,2022,4,4.431857923497268,2.4072950819672134,3.80431693989071,5.734508196721311,18.192568306010926,23.43275956284153,13.236420765027322,4.002704918032786
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,Expansion,1489.317664,SC-07,2024-03-26,SC,Republican,Republican,Republican,34.200076,-79.76985,2024,1,4.431857923497268,2.4072950819672134,3.80431693989071,5.734508196721311,18.192568306010926,23.43275956284153,13.236420765027322,4.002704918032786
Manufacturing,Batteries,Cells,Clean Tech Manufacturing,Expansion,180.062031,PA-12,2023-09-07,PA,Democratic,Republican,Democratic,40.40371,-79.82943,2023,3,3.75051912568306,0.3227049180327868,0.5951639344262295,4.364207650273224,11.446502732240438,17.192295081967217,6.0798633879781425,2.307978142076503
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,650.960271,NC-07,2023-06-26,NC,Republican,Republican,Republican,34.299794,-78.191275,2023,2,4.403333333333333,0.207896174863388,0.4363934426229507,4.560928961748634,17.812540983606556,23.314590163934422,12.97754098360656,6.393360655737705
Manufacturing,Batteries,Cells,Clean Tech Manufacturing,New,46.084455,MA-03,2022-08-25,MA,Democratic,Democratic,Democratic,42.692706,-71.236782,2022,3,3.8942896174863386,0.6638251366120219,0.949016393442623,4.786393442622951,10.506967213114754,15.547841530054646,5.701311475409837,2.8103005464480875
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,2505.067313,MI-05,2023-02-13,MI,Democratic,Democratic,Republican,42.261,-84.96,2023,1,3.8432240437158462,3.1851639344262295,4.866748633879782,6.816666666666667,9.298169398907104,14.427950819672132,4.190819672131147,2.5786612021857924
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,120.177281,CO-08,2023-06-06,CO,Democratic,Democratic,Republican,39.920425,-104.983115,2023,2,4.901311475409837,2.4718852459016394,4.331967213114754,5.46636612021858,10.809918032786884,18.80603825136612,3.928989071038252,0.9270765027322404
Manufacturing,Batteries,Cells,Clean Tech Manufacturing,New,164.368417,NC-04,2023-11-15,NC,Republican,Republican,Democratic,35.836565,-78.81521,2023,4,4.396038251366121,0.3589344262295082,0.6395628415300547,4.403797814207651,15.904180327868854,21.73532786885246,10.68983606557377,4.514043715846995
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,771.891194,WV-02,2022-12-22,WV,Republican,Republican,Republican,40.418,-80.57,2022,4,3.780655737704918,0.2174043715846994,0.4633060109289617,4.290273224043717,11.227540983606556,16.843032786885246,5.9546174863387975,2.5301092896174864
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,New,7.542692,OH-15,2022-06-27,OH,Republican,Republican,Republican,40.04421,-83.12888,2022,2,3.851584699453552,2.8176502732240443,4.405628415300547,6.200601092896175,11.535355191256832,16.87743169398907,6.263251366120218,2.7748633879781424
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,New,209.196167,MI-13,2023-11-17,MI,Democratic,Democratic,Democratic,42.37036,-83.06324,2023,4,3.839262295081967,3.417295081967213,5.053579234972677,6.858469945355191,9.76136612021858,14.536174863387975,4.953770491803279,2.206857923497268
Manufacturing,Batteries,Cells,Clean Tech Manufacturing,New,1726.598722,,2022-11-11,GA,,,,33.376,-84.79,2022,4,4.402978142076502,0.0584972677595628,0.2728142076502732,4.064125683060109,16.807868852459016,23.078934426229505,11.347076502732245,4.474153005464481
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,2396.925285,MI-02,2022-10-05,MI,Democratic,Democratic,Republican,43.699,-85.48,2022,4,3.831967213114754,3.01120218579235,4.718142076502732,6.648797814207651,8.26226775956284,12.97672131147541,3.3317213114754094,2.37103825136612
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,2000.689235,IL-01,2023-09-08,IL,Democratic,Democratic,Democratic,41.244915,-87.866011,2023,3,3.8967486338797817,3.115,4.819726775956284,6.591475409836065,10.759699453551914,16.18789617486339,5.585409836065574,2.6062021857923496
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,431.902122,OH-14,2024-03-20,OH,Republican,Republican,Republican,41.195073,-80.790678,2024,1,3.742568306010929,0.2384426229508196,0.4980054644808743,4.457267759562841,10.762103825136611,16.38226775956284,5.470819672131147,2.603606557377049
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,Expansion,782.388213,OH-14,2024-03-20,OH,Republican,Republican,Republican,41.31934,-80.72203,2024,1,3.742568306010929,0.4517486338797814,0.7449999999999999,4.616639344262295,10.458333333333334,15.74013661202186,5.490327868852458,2.613114754098361
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,Expansion,23.908133,OH-05,2023-11-28,OH,Republican,Republican,Republican,40.88967,-83.86623,2023,4,3.851584699453552,3.09620218579235,4.81068306010929,6.584562841530055,11.061092896174864,16.41071038251366,5.8701366120218585,2.389726775956284
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,333.491954,WA-04,2023-04-04,WA,Democratic,Democratic,Republican,47.131846,-119.206011,2023,2,4.141693989071038,2.4796448087431693,4.1201639344262295,5.390491803278689,11.972076502732238,18.355901639344264,6.078907103825137,0.729207650273224
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,0.665456,WA-01,2021-04-13,WA,Democratic,Democratic,Democratic,47.804717,-122.118126,2021,2,3.4706830601092897,0.2754371584699453,0.5754918032786885,3.028251366120219,8.513005464480873,12.293360655737704,5.075491803278688,6.2775956284153
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,3641.299453,OH-03,2022-06-10,OH,Republican,Republican,Democratic,39.979588,-82.956797,2022,2,3.8363934426229513,2.8176502732240443,4.405628415300547,6.200601092896175,11.535355191256832,16.87743169398907,6.263251366120218,2.7748633879781424
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,Expansion,201.228203,TX-08,2021-06-08,TX,Republican,Republican,Republican,30.313858,-95.388508,2021,2,4.560792349726776,0.914672131147541,1.4249999999999998,4.7103825136612025,20.873005464480876,27.644726775956286,15.147540983606556,2.886693989071038
Manufacturing,Batteries,Modules,Clean Tech Manufacturing,New,208.207493,AL-02,2022-10-27,AL,Republican,Republican,Democratic,32.319337,-86.436662,2022,4,4.518196721311476,1.585327868852459,2.661666666666666,4.751939890710383,18.73762295081967,24.81688524590164,13.07792349726776,3.5478688524590165
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,4473.596471,GA-01,2022-05-20,GA,Democratic,Democratic,Republican,32.178593,-81.465272,2022,2,4.660218579234973,1.1527049180327869,1.5746174863387976,4.619289617486339,20.563907103825137,25.416994535519127,16.279398907103825,3.1779508196721307
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,Expansion,2000.689235,GA-01,2023-09-01,GA,Democratic,Democratic,Republican,32.178593,-81.465272,2023,3,4.660218579234973,1.1527049180327869,1.5746174863387976,4.619289617486339,20.563907103825137,25.416994535519127,16.279398907103825,3.1779508196721307
Manufacturing,Batteries,"Cells, Modules",Clean Tech Manufacturing,New,5078.231537,GA-11,2022-12-08,GA,Democratic,Democratic,Republican,34.221051,-84.914473,2022,4,4.292103825136612,0.104535519125683,0.3337978142076503,4.050464480874317,16.537459016393445,22.704945355191256,11.1022131147541,4.225819672131148
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,436.727912,MO-01,2022-10-19,MO,Republican,Republican,Democratic,38.54731,-90.268867,2022,4,4.050027322404372,2.1839890710382512,3.4453825136612015,5.680737704918033,12.961393442622953,18.50224043715847,7.779098360655738,3.46620218579235
Manufacturing,Batteries,EAM,Clean Tech Manufacturing,New,11.090925,UT-03,2023-11-02,UT,Republican,Republican,Republican,40.22483,-111.71419,2023,4,4.9728142076502735,2.06655737704918,3.842049180327869,4.005573770491803,10.465546448087432,17.309098360655735,4.2278142076502725,0.6359016393442624
